X,Y
384,28551.0
385,28443.0
386,29977.0
387,29390.0
388,29404.0
389,28954.0
390,27402.0
391,25997.0
392,27560.0
393,31858.0
394,32395.0
395,25916.0
396,24922.0
397,24082.0
398,23503.0
399,25237.0
400,31582.0
401,32164.0
402,24658.0
403,24623.0
404,23229.0
405,23689.0
406,25444.0
407,33644.0
408,31522.0
409,32077.0
410,21797.0
411,19682.0
412,19932.0
413,25431.0
414,33985.0
415,33883.0
416,22585.0
417,18641.0
418,19241.0
419,18564.0
420,25240.0
421,32421.0
422,34036.0
423,23109.0
424,19619.0
425,18986.0
426,18813.0
427,24279.0
428,31852.0
429,30836.0
430,20828.0
431,18130.0
432,10478.0
433,10353.0
434,18709.0
435,28132.0
436,27520.0
437,19435.0
438,16167.0
439,16024.0
440,16350.0
441,21726.0
442,27649.0
443,28218.0
444,22302.0
445,16475.0
446,18085.0
447,15474.0
448,20145.0
449,28165.0
450,27548.0
451,18063.0
452,14797.0
453,15475.0
454,15655.0
455,20827.0
456,27624.0
457,27021.0
458,17495.0
459,14641.0
460,14840.0
461,15557.0
462,19323.0
463,26606.0
464,26521.0
465,16106.0
466,15809.0
467,15610.0
468,14558.0
469,21460.0
470,27817.0
471,27305.0
472,16418.0
473,17794.0
474,14382.0
475,15833.0
476,23103.0
477,27516.0
478,26643.0
479,15678.0
480,14349.0
481,13772.0
482,14527.0
483,18532.0
484,26325.0
485,26051.0
486,18043.0
487,17969.0
488,22311.0
489,21822.0
490,26424.0
491,27291.0
492,26549.0
493,17867.0
494,14967.0
495,14505.0
496,14482.0
497,20052.0
498,28345.0
499,27419.0
500,18445.0
501,15476.0
502,15639.0
503,15899.0
504,19582.0
505,28416.0
506,26753.0
507,18187.0
508,16022.0
509,15505.0
510,15861.0
511,20576.0
512,27558.0
513,26941.0
514,21526.0
515,22649.0
516,23225.0
517,25925.0
518,29071.0
519,23286.0
520,20799.0
521,24302.0
522,27181.0
523,28070.0
524,29043.0
525,30010.0
526,25107.0
527,27161.0
528,28484.0
